"source","Accession"
"GISAID","EPI_ISL_13308160"
"GISAID","EPI_ISL_13308162"
"GISAID","EPI_ISL_13308163"
"GISAID","EPI_ISL_13308165"
"GISAID","EPI_ISL_13308167"
"GISAID","EPI_ISL_13314740"
"GISAID","EPI_ISL_13331598"
"GISAID","EPI_ISL_13331712"
"GISAID","EPI_ISL_13331713"
"GISAID","EPI_ISL_13331714"
"GISAID","EPI_ISL_13331715"
"GISAID","EPI_ISL_13331717"
"GISAID","EPI_ISL_13338028"
"GISAID","EPI_ISL_13339105"
"GISAID","EPI_ISL_13342823"
"GISAID","EPI_ISL_13343634"
"GISAID","EPI_ISL_13343697"
"GISAID","EPI_ISL_13343718"
"GISAID","EPI_ISL_13351002"
"GISAID","EPI_ISL_13362760"
"GISAID","EPI_ISL_13362764"
"GISAID","EPI_ISL_13363142"
"GISAID","EPI_ISL_13374487"
"GISAID","EPI_ISL_13408799"
"GISAID","EPI_ISL_13408801"
"GISAID","EPI_ISL_13408803"
"GISAID","EPI_ISL_13408805"
"GISAID","EPI_ISL_13408807"
"GISAID","EPI_ISL_13408809"
"GISAID","EPI_ISL_13408811"
"GISAID","EPI_ISL_13408813"
"GISAID","EPI_ISL_13408815"
"GISAID","EPI_ISL_13408817"
"GISAID","EPI_ISL_13408819"
"GISAID","EPI_ISL_13408821"
"GISAID","EPI_ISL_13408823"
"GISAID","EPI_ISL_13408825"
"GISAID","EPI_ISL_13408827"
"GISAID","EPI_ISL_13408829"
"GISAID","EPI_ISL_13408831"
"GISAID","EPI_ISL_13408833"
"GISAID","EPI_ISL_13408835"
"GISAID","EPI_ISL_13408837"
"GISAID","EPI_ISL_13408839"
"GISAID","EPI_ISL_13408841"
"GISAID","EPI_ISL_13408843"
"GISAID","EPI_ISL_13408845"
"GISAID","EPI_ISL_13408847"
"GISAID","EPI_ISL_13408849"
"GISAID","EPI_ISL_13408851"
"GISAID","EPI_ISL_13408853"
"GISAID","EPI_ISL_13408855"
"GISAID","EPI_ISL_13408857"
"GISAID","EPI_ISL_13408859"
"GISAID","EPI_ISL_13408861"
"GISAID","EPI_ISL_13409177"
"GISAID","EPI_ISL_13409178"
"GISAID","EPI_ISL_13409179"
"GISAID","EPI_ISL_13409180"
"GISAID","EPI_ISL_13409181"
"GISAID","EPI_ISL_13411153"
"GISAID","EPI_ISL_13411154"
"GISAID","EPI_ISL_13411155"
"GISAID","EPI_ISL_13411156"
"GISAID","EPI_ISL_13411157"
"GISAID","EPI_ISL_13411158"
"GISAID","EPI_ISL_13411159"
"GISAID","EPI_ISL_13411160"
"GISAID","EPI_ISL_13411161"
"GISAID","EPI_ISL_13411162"
"GISAID","EPI_ISL_13411163"
"GISAID","EPI_ISL_13411164"
"GISAID","EPI_ISL_13411165"
"GISAID","EPI_ISL_13411166"
"GISAID","EPI_ISL_13411167"
"GISAID","EPI_ISL_13411168"
"GISAID","EPI_ISL_13436658"
"GISAID","EPI_ISL_13436792"
"GISAID","EPI_ISL_13437056"
"GISAID","EPI_ISL_13445553"
"GISAID","EPI_ISL_13449965"
"GISAID","EPI_ISL_13449966"
"GISAID","EPI_ISL_13459346"
"GISAID","EPI_ISL_13459347"
"GISAID","EPI_ISL_13459482"
"GISAID","EPI_ISL_13459483"
"GISAID","EPI_ISL_13466446"
"GISAID","EPI_ISL_13466447"
"GISAID","EPI_ISL_13466448"
"GISAID","EPI_ISL_13466449"
"GISAID","EPI_ISL_13466450"
"GISAID","EPI_ISL_13466451"
"GISAID","EPI_ISL_13466452"
"GISAID","EPI_ISL_13466453"
"GISAID","EPI_ISL_13466454"
"GISAID","EPI_ISL_13466455"
"GISAID","EPI_ISL_13466456"
"GISAID","EPI_ISL_13466457"
"GISAID","EPI_ISL_13466458"
"GISAID","EPI_ISL_13466459"
"GISAID","EPI_ISL_13466460"
"GISAID","EPI_ISL_13466461"
"GISAID","EPI_ISL_13466462"
"GISAID","EPI_ISL_13466463"
"GISAID","EPI_ISL_13466464"
"GISAID","EPI_ISL_13466465"
"GISAID","EPI_ISL_13472250"
"GISAID","EPI_ISL_13483155"
"GISAID","EPI_ISL_13483157"
"GISAID","EPI_ISL_13483159"
"GISAID","EPI_ISL_13483161"
"GISAID","EPI_ISL_13483162"
